Координаты: (21.5, 71.5); Яркость: 1856; Размер: 9; Тип: планета
Координаты: (16.0, 71.5); Яркость: 1322; Размер: 6; Тип: планета
Координаты: (10.0, 72.0); Яркость: 3246; Размер: 16; Тип: планета
Координаты: (3.0, 71.5); Яркость: 5877; Размер: 30; Тип: планета
Координаты: (21.5, 65.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (10.0, 65.5); Яркость: 510; Размер: 2; Тип: планета
Координаты: (4.5, 65.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (4.5, 59.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (18.5, 54.0); Яркость: 4007; Размер: 18; Тип: планета
Координаты: (10.0, 54.0); Яркость: 940; Размер: 4; Тип: планета
Координаты: (4.5, 54.0); Яркость: 1384; Размер: 6; Тип: планета
Координаты: (15.5, 48.0); Яркость: 470; Размер: 2; Тип: планета
Координаты: (10.0, 48.0); Яркость: 920; Размер: 4; Тип: планета
Координаты: (4.0, 48.0); Яркость: 914; Размер: 4; Тип: планета
Координаты: (135.5, 68.0); Яркость: 8286559; Размер: 36856; Тип: звезда
Координаты: (112.0, 133.5); Яркость: 363; Размер: 2; Тип: планета
Координаты: (229.0, 132.5); Яркость: 510; Размер: 2; Тип: планета
Координаты: (212.0, 132.5); Яркость: 510; Размер: 2; Тип: планета
Координаты: (195.0, 134.0); Яркость: 1801; Размер: 8; Тип: планета
Координаты: (189.5, 132.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (183.5, 132.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (134.5, 132.5); Яркость: 232; Размер: 1; Тип: планета
